source_id,year,title,category,drive_url,source_class,evidence_level,canonical_url,ingest_status,public_policy,next_action
MTP-1986-HARVARD,1986,Harvard School commencement speech,speech,https://drive.google.com/file/d/10nCMRwUoN532qVC-GejE54eF6LYCIRpO/view,unattributed_transcript,D-lead,,needs_source,link_and_excerpt,Locate original program or recording and confirm exact venue and date
MTP-1994-USC,1994,A Lesson on Elementary Worldly Wisdom,speech,https://drive.google.com/file/d/1Jmgt6GFf-hlRhEnnQ82bXLcHFsrYFwj5/view,named_transcript,B-traceable-transcript,https://fs.blog/great-talks/a-lesson-on-worldly-wisdom/,verified_sample,link_and_excerpt,Locate an original OID scan or USC record before upgrading attribution certainty
MTP-1995-PSYCH,1995,The Psychology of Human Misjudgment,speech,https://drive.google.com/file/d/1vUPjhrFAYpUhv1pNv98B_OXfSd61ViVV/view,named_transcript,B-traceable-transcript,https://oldschoolvalue-files.s3.amazonaws.com/pdf/VIP-psychology-human-judgement_june_95.pdf,verified_sample,link_and_excerpt,One verified excerpt exists; OCR Drive copy and align further units to surviving audio if available
MTP-1996-STANFORD,1996,Worldly Wisdom Revisited,speech,https://drive.google.com/file/d/1xDzB99ydEKcJgaotp7A7VW93PA_K9hGy/view,unattributed_transcript,D-lead,,needs_source,link_and_excerpt,Locate Stanford Law publication or named transcriber
MTP-1999-WESCO,1999,Wesco annual meeting notes,meeting,https://drive.google.com/file/d/1Kcq1SLX2uWwOhz7AgUWUe1TXKHWB8JLN/view,named_notes,C-named-notes,,ready_candidate,link_and_excerpt,Preserve SimpleInvestor attribution and do not label as verbatim
MTP-2000-WESCO,2000,Wesco annual meeting notes,meeting,https://drive.google.com/file/d/1PGIQAf38C3vPUW2tg1DU8_9VFOCoDljp/view,named_notes,C-named-notes,,ready_candidate,link_and_excerpt,Preserve Whitney Tilson attribution and locate corroborating notes
MTP-2001-WESCO,2001,Wesco annual meeting notes,meeting,https://drive.google.com/file/d/1bLNoLE_agyX-jXbE6BNUxD-lLfV94OLF/view,named_notes,C-named-notes,,ready_candidate,link_and_excerpt,Preserve Whitney Tilson attribution and locate corroborating notes
MTP-2002-WESCO,2002,Wesco annual meeting notes,meeting,https://drive.google.com/file/d/1_CZss07nd1RJb_5_AwqskZ82XBK0Pq7q/view,named_notes,C-named-notes,,ready_candidate,link_and_excerpt,Preserve Whitney Tilson attribution and locate corroborating notes
MTP-2003-UCSB,2003,Academic Economics Strengths and Faults,speech,https://drive.google.com/file/d/1BnLqNVa_d2hZzERIq5jd_EKHaSS5XerO/view,unattributed_transcript,D-lead,,needs_source,link_and_excerpt,Locate UCSB event record and original transcript provenance
MTP-2003-WESCO,2003,Wesco annual meeting notes,meeting,https://drive.google.com/file/d/1sZBHypofXBRoJiH93XZW6nGowrxOwv8l/view,named_notes,C-named-notes,,ready_candidate,link_and_excerpt,Preserve Whitney Tilson attribution and locate corroborating notes
